date,value,year
61,2730,1961
62,3001,1962
63,2704,1963
64,2762,1964
65,2688,1965
66,2743,1966
67,2299,1967
68,1995,1968
69,3119,1969
70,3429,1970
71,2863,1971
72,2534,1972
73,3102,1973
74,2649,1974
75,2698,1975
76,2235,1976
77,3644,1977
78,2956,1978
79,3433,1979
80,3087,1980
81,1781,1981
82,3379,1982
83,3301,1983
84,3258,1984
85,3602,1985
86,3813,1986
87,4458,1987
88,3180,1988
89,3083,1989
90,3317,1990
91,3383,1991
92,3038,1992
93,4030,1993
94,3306,1994
95,4081,1995
96,4962,1996
97,4640,1997
98,5064,1998
99,5528,1999
0,5693,2000
1,5458,2001
2,5059,2002
3,5207,2003
4,5451,2004
5,5017,2005
6,5386,2006
7,4957,2007
8,4878,2008
9,5042,2009
10,4613,2010
11,4552,2011
12,4934,2012
13,4661,2013
14,4186,2014
15,4909,2015
16,5610,2016
17,6105,2017
